Short,Full
WSU,Washington State University
Texas Tech,Texas Tech University
North Texas,University of North Texas
UMBC,"University of Maryland, Baltimore County"
U of Campinas,State University of Campinas
U of Puget Sound,University of Puget Sound
Hohai University,Hohai University
Rhodes College,Rhodes College
ZHAW,ZHAW
Auckland University of Technology,Auckland University of Technology
University of Venice,University of Venice
